Channel URL,Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
,,,,,,@christellenguimetsa7644,@@laverite1962 ghu,2023-03-01T09:58:15Z,2023-03-01T09:58:15Z
,,,,,,@christellenguimetsa7644,@@laverite1962 gxsi,2023-03-01T09:58:11Z,2023-03-01T09:58:11Z
,,,,,,@christellenguimetsa7644,&#39;,2023-03-01T09:57:47Z,2023-03-01T09:57:47Z
,,,,,,@christellenguimetsa7644,@@nearisdesign7762 kky,2023-03-01T09:57:10Z,2023-03-01T09:57:10Z
,,,,,,@vivichenkem9752,@@laverite1962 m,2023-03-01T07:09:52Z,2023-03-01T07:09:52Z
,,,,,,@directives6670,Sing in english and pidgin english and see what happens. All this french is holding you back.,2023-02-27T02:13:52Z,2023-02-27T02:13:52Z
,,,,,,@alicendo5820,🥚🥚🍝❤️😘✌️😘❤️😘✌️❤️👍🥚🥚🍝❤️,2023-02-26T15:34:58Z,2023-02-26T15:34:58Z
,,,,,,@Gorbi10,@@magicboss7487 i think you are disabled,2023-02-26T15:11:09Z,2023-02-26T15:11:09Z
,,,,,,@magicboss7487,This song is boring,2023-02-26T15:07:11Z,2023-02-26T15:07:11Z
,,,,,,@queengirls387,Si j&#39;avais la chance de faire un fituring avec toi koC🥺🥺💪,2023-02-26T06:11:43Z,2023-02-26T06:11:43Z
,,,,,,@Gorbi10,"Incontestablement le meilleur artiste camerounais bro, tu as fait fort🙌",2023-02-26T02:30:52Z,2023-02-26T02:30:52Z
,,,,,,@danieltsimi-so8np,Vraiment la guerre,2023-02-25T21:52:23Z,2023-02-25T21:52:23Z
,,,,,,@chelseanadegegombitang2123,Þt,2023-02-25T07:04:00Z,2023-02-25T07:04:00Z
,,,,,,@chelseanadegegombitang2123,3,2023-02-25T07:03:52Z,2023-02-25T07:03:52Z
,,,,,,@tiko3813,Congrats man,2023-02-25T04:18:01Z,2023-02-25T04:18:01Z
,,,,,,@cedricsylvainfolammbogne4636,C&#39;est Tes quatres maguidas là qui me retiennent encore au pays,2023-02-24T11:00:21Z,2023-02-24T11:00:21Z
,,,,,,@etongirl2009,"Ko-c papa, you are just a genius of music..ohhh trop fière d&#39;être du 237 ...tu as fais fort ... I have known since I followed you, that you shall give a new and beautiful face to music in Cameroon and in Africa as a whole ...God bless you and bless the womb that bore you...the father that gave us such a gem...more success to you lil bros...simplement bravo.. everything on point .....I am more than impressed",2023-02-22T02:01:10Z,2023-02-22T02:01:10Z
,,,,,,@caramel9862,c&#39;est bon !,2023-02-20T21:22:41Z,2023-02-20T21:22:41Z
,,,,,,@evradblondel4256,Force a toi grand,2023-02-19T12:02:00Z,2023-02-19T12:02:00Z
,,,,,,@bigbaby0630,It&#39;s giving everything it&#39;s supposed to give 🔥,2023-02-18T09:55:30Z,2023-02-18T09:55:30Z
,,,,,,@kokok1216,c&#39;est trop le feu🔥,2023-02-17T23:06:13Z,2023-02-17T23:06:13Z
